PairID,Text,Score
es-en-test-0000,"Counterfeiters from China and Indonesia will bring lots more of these products down to sell on the streets of Australia.
Los falsificadores de China e Indonesia aportará mucho más de estos productos a vender en las calles de Australia.",1.000000
es-en-test-0001,"Professor Larson said he did not know whether the boredom percentages now, 21 years later, would be higher or lower.
El profesor Larson dijo que no sabía si el aburrimiento porcentajes ahora, 21 años después, sería superior o inferior.",0.666667
es-en-test-0002,"The hearing focuses on Manning's time in the military brig at Quantico, Virginia
La audiencia se centra en el tiempo de Manning en la prisión militar de Quantico, Virginia",1.000000
es-en-test-0003,"My wife, who was born in Guadalajara and came to the United States legally as a child, reminds me that there is friction between Mexicans and Mexican-Americans because Mexicans have a firmer grasp of who they are and Mexican-Americans resent that.
Mi esposa, que nació en Guadalajara y llegó a los Estados Unidos legalmente como un niño, me recuerda que hay fricciones entre los mexicanos y mexicano-americanos porque los mexicanos tienen una comprensión más profunda de quiénes son y mexicano-estadounidenses que les molesta.",0.333333
es-en-test-0004,"Freeman noted an increase in ""average Joe"" reviews of brands on social media sites such as YouTube, Twitter and Facebook.
Freeman observó un aumento en la media ""Joe"" exámenes de marcas en los medios sociales de sitios como YouTube, Twitter y Facebook.",0.333333
es-en-test-0005,"""Colorado has a more regulated market, so they will be a good guide,"" said Brian E. Smith, a spokesman for the Washington State Liquor Control Board.
El ""Colorado tiene un mercado regulado, por lo que será una buena guía"", dijo Brian E. Smith, portavoz de la Junta de Control de bebidas alcohólicas del Estado de Washington.",1.000000
es-en-test-0006,"You want to talk about hard feelings?
Usted quiere hablar de malos sentimientos?",0.333333
es-en-test-0007,"Rather, our goal should be to feel comfortable away from the constant chatter of activity and technology.
Más bien, nuestro objetivo debe ser sentirse cómodo fuera de las constantes charlas de actividad y la tecnología.",1.000000
es-en-test-0008,"It would be so much easier if he did.
""Sería mucho más fácil si lo hizo"".",1.000000
es-en-test-0009,"A few of these people will become heroes.
Algunas de estas personas se convierten en héroes.",1.000000
es-en-test-0010,"Days after the Obama administration threatened to delay approval of a planned oil pipeline from Canada to the Gulf of Mexico -- angering unions while appeasing environmentalists -- the company seeking to build the pipeline says it's willing to reroute the project to get it back on track.
Días después de la administración Obama amenazó con retrasar la aprobación de un oleoducto desde Canadá hasta el Golfo de México -- irrita a los sindicatos y a apaciguar a los ecologistas -- la empresa pretende construir el gasoducto dice que está dispuesto a reroute el proyecto para ponerlo de nuevo en marcha.",0.333333
es-en-test-0011,"What they want is that one simply accepts what they say and shuts up.
Lo que quieren es que uno simplemente acepta lo que dicen y cierra.",0.333333
es-en-test-0012,"But I'll get back to that.
Pero voy a volver a eso.",1.000000
es-en-test-0013,"Europe's monetary union has been badly undermined by a sovereign debt crisis in past months.
La unión monetaria europea ha sido gravemente afectada por una crisis de deuda soberana en los últimos meses.",1.000000
es-en-test-0014,"Tucked away under motorway flyovers, it is in many ways a suburb of Mexico City itself.
Escondida bajo la autopista pasos elevados, es, en muchos sentidos, un suburbio de la ciudad de México.",0.666667
es-en-test-0015,"A male friend of mine, also a Tory supporter, had succumbed to pressure and renounced his creed.
Un amigo mío, también un defensor conservador, había sucumbido a la presión y renunció a su credo.",1.000000
es-en-test-0016,"It is not an option, it is an imperative, because where do we find employment for tens of millions of our young men and women.
""No es una opción, es un imperativo, porque donde podemos encontrar empleo a decenas de millones de nuestros jóvenes hombres y mujeres"".",1.000000
es-en-test-0017,"Amid the usual futile arguments over who started it, scores of buildings have been reduced to rubble; more than 140 Palestinians, most of them civilians, and six Israelis have been killed; and, for the first time, missiles from Gaza have landed near Tel Aviv, Israel's metropolis, and the holy city of Jerusalem.
En medio de la habitual fútiles argumentos sobre quién comenzó, decenas de edificios han quedado reducidos a escombros; más de 140 palestinos, la mayoría de ellos civiles, y seis israelíes han sido asesinados; y, por primera vez, misiles desde Gaza han aterrizado cerca de Tel Aviv, capital de Israel, y la ciudad santa de Jerusalén.",1.000000
es-en-test-0018,"Boeing Co shares rose 1.5% to $67.94.
Boeing Co comparte aumentó un 1,5% a $67.94.",0.333333
es-en-test-0019,"And, in the homeland of my grandfather, there was no need for shorthand or hyphens.
Y, en la tierra natal de mi abuelo, no hay necesidad de taquigrafía o guiones.",1.000000
es-en-test-0020,"But the praise comes with a price, service members say.
Pero los elogios llega con un precio, dicen los miembros del servicio.",1.000000
es-en-test-0021,"Maybe the hardliners will win out; yet the Arab spring may change their calculations.
Tal vez la línea dura triunfará; sin embargo, la primavera árabe puede cambiar sus cálculos.",1.000000
es-en-test-0022,"Roseanna Monk said she stopped near the door and put her daughter down for a moment.
Roseanna Monk dijo que dejó cerca de la puerta y poner a su hija durante un momento.",0.000000
es-en-test-0023,"I'm afraid you're on your own, amigos.
Me temo que estás en tu propio, amigos.",0.000000
es-en-test-0024,"He's a very straightforward man, very committed with an excellent vision of the country.
Él es un hombre muy sencillo, muy comprometido con una excelente visión del país.",1.000000
es-en-test-0025,"TransCanada said Monday evening it will move the planned pipeline out of the environmentally sensitive Sandhills area of Nebraska, and is confident the project will still win approval.
TransCanada dijo el lunes por la tarde se trasladará el oleoducto previsto fuera de la zona ecológicamente sensibles Sandhills de Nebraska, y confía en que el proyecto será aprobado todavía.",1.000000
